Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
ЛИОРА;Кировский;улица Ватутина 28/1;66;1;10;5700000;86364
ТандемТ;Центральный;улица Гусарова 60Б;80;1;2;5800000;72500
ВЕТЕР ПЕРЕМЕН;Ленинский;улица Гризодубовой 11А;72;1;2;3200000;44383
Домофон;Ленинский;улица Константина Заслонова 3А;60;3;3;3300000;54187
ЛИОРА;Ленинский;улица 6-я Станционная 149;51;5;9;3720000;71954
АССОЛЬ;Ленинский;улица Ишимская 14;54;2;4;3800000;70370
Этажи Омск;Октябрьский;улица 20 лет РККА 238;59;1;2;3800000;64189
Людмила Дашкова;Советский;улица Тимофея Белозерова 1;49;5;5;3900000;79592
ТандемТ;Советский;Заозерная улица 12;50;4;5;3900000;78000
ЛИОРА;Советский;улица 22 Апреля 18А;55;1;5;4100000;74007
Этажи Омск;Советский;улица Андрианова 34;58;4;5;4300000;73883
Бюро недвижимости Зуевой Я.Н.;Центральный;улица 30-я Северная 68;48;2;5;4400000;90535
Этажи Омск;Ленинский;улица Демьяна Бедного 91;60;5;9;4590000;75743
Премиум класс;Советский;Нефтезаводская улица 31В;60;5;5;4600000;76667
Этажи Омск;Ленинский;Крыловская улица 54А;62;1;5;4700000;75806
Этажи Омск;Советский;проспект Мира 92;59;9;9;4700000;78595
Этажи Омск;Советский;улица 22 Апреля 56;56;5;5;4800000;85714
НСБ-Недвижимость;Ленинский;улица Константина Заслонова 4;72;5;5;4850000;67268
Этажи Омск;Кировский;улица Ватутина 6;50;1;5;4950000;98214
ID 9715390;Кировский;улица Рокоссовского 6;62;2;9;5200000;83601
Большой Город;Кировский;улица Рокоссовского 20;69;12;12;5300000;75823
ЛИОРА;Ленинский;улица Серова 12;66;3;3;5400000;80960
Твой город возможностей;Октябрьский;улица Кирова 5а;58;2;5;5700000;96939
Омская недвижимость;Октябрьский;Харьковская улица 27;68;2;12;6000000;87591
ЛИОРА;Центральный;проезд 1-й Амурский 5к3;79;6;10;6187359;78321
Этажи Омск;Кировский;улица Крупской 1;64;4;9;6200000;96875
Самолет Плюс Омск;Кировский;улица Степанца 12;63;9;9;6499000;103159
Этажи Омск;Центральный;проезд 1-й Амурский 3к2;78;10;10;7077408;90736
Этажи Омск;Советский;улица Химиков 32;90;10;10;7300000;81111
Радонеж;Кировский;улица Конева 24;68;7;12;7450000;108285
МЕТА;Кировский;улица Лукашевича 10;62;9;9;7500000;119808
ИПОТЕКА-ЦЕНТР;Советский;улица Сибниисхоз 1;88;3;4;7990000;90079
НСБ-Недвижимость;Центральный;улица Яковлева 169;102;1;14;9430002;92451
Копейка;Ленинский;проспект Карла Маркса 38;78;4;5;9800000;125320
АССОЛЬ;Советский;проспект Менделеева 14/1;94;2;9;10490000;111596
НСБ-Недвижимость;Октябрьский;улица Шебалдина 199/2;71;2;8;13200000;183588
Ледон;Октябрьский;Учебная улица 202;55;3;5;3799000;68205
АВЕСТА-РИЭЛТ;Советский;улица Магистральная 70А;59;2;9;3841000;64124
АВЕСТА-РИЭЛТ;Советский;улица 22 Апреля 46;57;5;5;3899000;68404
Доверие;Ленинский;улица Лобкова 22;60;1;3;3900000;65000
ДОМСК;Советский;Нефтезаводская улица 38А;57;3;5;4200000;72917
МИАРД ВЛАДИС;Советский;улица 20-го Партсъезда 51А;74;1;4;4235000;57075
Сибирский Ипотечный Центр;Кировский;Мельничная улица 58В;63;3;10;6500000;102041
Самолет Плюс Омск;Ленинский;улица Константина Заслонова 4;65;2;5;5430000;82398
ВЕТЕР ПЕРЕМЕН;Октябрьский;улица Пархоменко 23А;74;7;8;6700000;90054
ЛИОРА;Советский;проспект Менделеева 17/3;70;5;5;5650000;80714
Этажи Омск;Кировский;Хлебная улица 33;106;4;5;9500000;89623
НСБ-Недвижимость;Кировский;улица 3-я Енисейская 28;76;6;10;9120000;120000
АССОЛЬ;Ленинский;набережная Иртышская 37;56;4;5;5050000;90179
Этажи Омск;Ленинский;улица Константина Заслонова 4;65;2;5;5500000;83460
РИЭЛТКОНСАЛТ;Советский;улица Энтузиастов 45;57;5;5;3600000;62718
АССОЛЬ;Советский;Заозерная улица 18/1;64;5;5;4690000;73281
Самолет Плюс Омск;Советский;проспект Менделеева 14/1;113;8;9;8990000;79487
Этажи Омск;Кировский;проспект Комарова 21;83;8;16;9300000;112048
Этажи Омск;Ленинский;улица Труда 5;62;1;5;5150000;81876
Бюро недвижимости Зуевой Я.Н.;Ленинский;улица Федора Крылова 4;56;3;5;4500000;80357
ПОЛЕЗНЫЕ ЛЮДИ;Ленинский;улица Котельникова 2;51;3;9;5100000;99222
ЛИОРА;Центральный;улица Лермонтова 136;60;3;9;5300000;87894
Этажи Омск;Центральный;улица 10 лет Октября 111;66;3;9;6500000;98485
Этажи Омск;Центральный;набережная Тухачевского 16;125;4;13;21000000;168000
Этажи Омск;Ленинский;улица Кучерявенко 3;58;2;5;5499000;93362
ЛИОРА;Ленинский;улица 6-я Станционная 27;58;1;5;4270000;73368
Квартсервис;Ленинский;улица 6-я Станционная 27;58;1;5;4270000;73368
ТандемТ;Советский;улица 22 Апреля 8В;65;3;5;5300000;81538
ДОМСК;Центральный;улица 3-я Северная 123;80;2;9;9400000;117500
СоДействие;Ленинский;улица Серова 13;98;4;5;10700000;109184
Омская недвижимость;Центральный;улица 21-я Амурская 24Б;60;5;5;3900000;64892
Риэлт Сибирь;Советский;улица 22 Апреля 51;60;5;5;3970000;66167
Домофон;Кировский;Куломзинская улица 105;61;4;5;7100000;115824
НСБ-Недвижимость;Советский;улица 22 Апреля 1;57;1;5;4060000;71228
Этажи Омск;Советский;улица Светлая 12;58;5;5;4150000;70698
Этажи Омск;Советский;Заозерная улица 32;63;1;9;5800000;91483
Этажи Омск;Кировский;улица Конева 24;68;7;12;7450000;108759
Сибирский Ипотечный Центр;Центральный;улица Арнольда Нейбута 8;84;4;13;12900000;153571
АВЕСТА-РИЭЛТ;Советский;улица Коммунальная 15;48;5;5;3892500;80590
Радонеж;Советский;улица Сибниисхоз 7;63;4;9;5100000;80952
Жилфонд Омск;Советский;улица Бархатовой 5;65;8;10;6400000;98160
Наталья Антонова;Кировский;улица Перелета 24;69;6;14;10000000;144300
ЛИОРА;Кировский;улица 70 лет Октября 13/3;101;10;16;13250000;130542
Самолет Плюс Омск-Центр;Советский;улица Строителей 3;52;2;2;4135000;78612
Этажи Омск;Октябрьский;улица 2-я Транспортная 16;67;3;3;3450000;50885
Этажи Омск;Кировский;Революционная улица 11;47;3;5;4550000;96809
Юлия Розенберг;Октябрьский;Братская улица 19;119;1;6;15500000;129925
Большой Город;Центральный;Краснознаменная улица 26/1;70;1;5;4800000;68279
НСБ-Недвижимость;Кировский;Новороссийская улица 3;59;1;5;4700000;79258
Этажи Омск;Советский;Пригородная улица 15/1;76;4;5;8200000;107895
Этажи Омск;Октябрьский;проспект Космический 22к2;62;5;17;8950000;142971
ЛИОРА;Советский;улица Энтузиастов 5;55;3;5;4300000;77338
ЛИОРА;Центральный;улица 21-я Амурская 25к3;73;8;10;7399353;101361
СоДействие;Советский;проспект Мира 26;55;5;5;4200000;75404
Этажи Омск;Ленинский;проспект Карла Маркса 54;65;5;9;7150000;110000
Этажи Омск;Советский;проспект Королева 10;62;8;9;6290000;101452
Этажи Омск;Советский;улица 22 Апреля 8В;65;3;5;5300000;81538
Этажи Омск;Советский;улица Лаптева 6;50;8;9;5350000;106362
Этажи Омск;Кировский;улица Конева 26/1;63;1;10;6250000;99206
ТандемТ;Советский;Нефтезаводская улица 30А;58;4;5;4000000;68259
СмартРиэлт;Центральный;улица Звездова 54;82;9;10;8937262;108991
Этажи Омск;Октябрьский;улица 2-я Железнодорожная 5;63;6;9;4700000;73668
Комфорт;Кировский;улица 3-я Енисейская 28/1;76;2;11;8968000;118000
ТандемТ;Советский;улица Лаптева 6;51;8;9;5350000;104902
ДОМСК;Кировский;проспект Комарова 15;80;6;10;11300000;141250
Мой мир;Ленинский;улица Вокзальная 49;41;2;5;3500000;84746
ЛИОРА;Советский;проспект Королева 10;62;8;9;6290000;101452
ДОМЕТРИКА;Центральный;улица Добровольского 3;49;2;9;4800000;96386
Этажи Омск;Центральный;проспект Карла Маркса 10;72;4;5;8100000;111264
Твой город возможностей;Ленинский;улица Жуковского 31/3;65;6;9;5900000;90214
МЕТА;Советский;улица Красный Путь 80А;54;1;5;6190000;114207
КЛЮЧ;Кировский;улица Туполева 2;79;5;11;9495000;120190
Этажи Омск;Центральный;улица Фрунзе 49;110;6;10;12499000;113627
Этажи Омск;Советский;улица 5-й Армии 6;139;2;13;14600000;105036
Этажи Омск;Центральный;улица Фрунзе 49;112;5;10;15500000;138393
РБН - Омск;Центральный;Волочаевская улица 15к1;136;1;10;20400000;149560
АВЕСТА-РИЭЛТ;Советский;улица 4-я Поселковая 34Б;41;5;5;3235000;77578
ТандемТ;Советский;улица Сергея Тюленина 13;62;2;5;6500000;104167
Этажи Омск;Кировский;улица Перелета 31;87;3;9;11300000;129291
Этажи Омск;Советский;улица 4-я Новостроевская 3;63;1;9;5900000;93651
Этажи Омск;Центральный;пос. Биофабрика 1/1;97;7;16;8450000;86845
Этажи Омск;Центральный;улица 24-я Северная 204к1;97;10;10;9850000;101546
Премиум класс;Советский;проспект Мира 88А;62;5;5;5390000;86795
Этажи Омск;Кировский;улица Степанца 6В;62;2;10;6499000;103984
ТандемТ;Советский;проспект Мира 88А;62;5;5;5440000;87742
ТандемТ;Советский;улица 20-го Партсъезда 50;59;2;5;4990000;84576
НСБ-Недвижимость;Советский;проспект Менделеева 36Б;62;1;5;5570000;89839
Радонеж;Советский;улица Сергея Тюленина 13;63;2;5;6500000;103175
АССОЛЬ;Советский;улица Энтузиастов 17;58;5;5;4275000;73077
Ледон;Центральный;улица 2-я Барнаульская 11А;51;5;5;4070000;79183
АВЕСТА-РИЭЛТ;Советский;улица 50 лет Профсоюзов 126;49;5;5;4066000;82141
АВЕСТА-РИЭЛТ;Советский;улица Энергетиков 65А;59;4;5;4110000;68729
ТандемТ;Кировский;улица Дианова 30;64;10;10;4900000;76563
Этажи Омск;Кировский;Ялтинская улица 49;89;1;3;5990000;67303
Этажи Омск;Октябрьский;улица 3-я Транспортная 11;56;1;3;5500000;97173
Этажи Омск;Советский;проспект Менделеева 36Б;62;1;5;5600000;90323
Ключники;Центральный;Ильинская улица 1;90;7;16;16200000;180000
Елена Багбая;Центральный;улица Авангардная 5;42;5;5;2900000;69048
Добрый Дом;Октябрьский;улица Романенко 7;62;4;5;3300000;52800
Лариса Игнатович;Советский;улица 22 Апреля 16А;49;5;5;3760000;76735
100 процентов;Ленинский;улица Василия Маргелова 289;48;1;5;4070000;84792
Недвижимость Гарант;Октябрьский;улица Российская 3;60;3;5;2800000;46667
Союз Гарант;Кировский;улица Степанца 6А;50;5;5;4990000;99800
Елена Багбая;Кировский;улица Конева 14;70;9;9;8200000;117143
Центр Деловых Решений;Октябрьский;улица 75-й Гвардейской Бригады 6;58;5;5;4320000;73846
Даниил Ельцов;Центральный;улица Сазонова 208А;63;8;10;6100000;96063
Аркада-Стиль;Центральный;улица Багратиона 94;100;4;9;7500000;75000
Аркада-Стиль;Кировский;улица Перелета 34;77;6;15;9500000;123377
100 процентов;Ленинский;улица Вострецова 4;60;1;9;5100000;85000
Союз Гарант;Октябрьский;улица 1-я Военная 7к1;96;8;10;8500000;88174
Евгения Слинкина;Советский;улица Коммунальная 19;60;5;5;3400000;56667
Светлана Арчибасова;Кировский;улица Конева 24;68;6;12;6150000;89781
Аркада-Стиль;Ленинский;улица Серова 24;64;4;9;5900000;92188
100 процентов;Кировский;проспект Комарова 31;63;6;9;6600000;104762
Аркада-Стиль;Кировский;улица 1-я Солнечная 14;83;3;3;6150000;74096
Аркада-Стиль;Советский;улица 22 Апреля 39/1;108;3;9;9777000;90528
Союз Гарант;Центральный;проезд 1-й Амурский 9к1;69;2;11;6919803;100287
Ваш Адрес;Советский;улица Малиновского 12к3;63;3;10;5560000;88254
Ключники;Советский;улица Энтузиастов 23А;59;3;5;5800000;97152
Аркада-Стиль;Кировский;улица Дианова 3;63;4;9;5530000;87778
Квадраты;Центральный;проезд 2-й Краснопахарский 2;69;1;2;4200000;60345
Аркада-Стиль;Кировский;улица Дмитриева 13/8;68;2;5;6650000;97794
АЛЬМЕРАРИЭЛТ;Октябрьский;улица 50 лет ВЛКСМ 16;62;4;5;4180000;67203
Галина Лолаева;Центральный;улица Куйбышева 62;121;5;7;14280000;117531
Анастасия Крахоткина;Центральный;набережная Тухачевского 16;146;2;13;16800000;114990
АЛЬМЕРАРИЭЛТ;Ленинский;улица Серова 14;66;3;3;4960000;75038
Евгения Слинкина;Советский;улица Малунцева 23А;73;2;4;8500000;115962
Квадраты;Центральный;Спартаковская улица 18;75;1;3;8200000;109333
Аркада-Стиль;Советский;проспект Мира 84А;64;2;5;4500000;70313
100 процентов;Ленинский;Моторная улица 1;63;6;9;5350000;84921
Ключники;Октябрьский;Харьковская улица 27/1;81;8;12;6945000;85215
Квадраты;Октябрьский;улица Кирова 20;86;8;12;7800000;90698
100 процентов;Кировский;улица Конева 24;81;4;12;8150000;100617
Ключники;Центральный;улица 10 лет Октября 115;105;7;10;12000000;113636
Добрый Дом;Советский;Заозерная улица 16;50;8;9;3590000;71800
Аркада-Стиль;Центральный;улица Ленина 51;82;2;3;7640000;93171
Аркада-Стиль;Центральный;проспект Карла Маркса 10;73;4;5;8100000;110959
Аркада-Стиль;Центральный;улица Куйбышева 136;63;8;9;5799000;92048
Ключники;Советский;проспект Менделеева 8;59;5;5;5100000;86003
ID 70292068;Центральный;улица 2-я Челюскинцев 17А;40;1;2;2250000;55970
ID 70292240;Октябрьский;улица Пархоменко 17;74;3;3;4080000;55135
ID 73047618;Советский;улица Энергетиков 67;56;3;5;4100000;73214
ID 70291912;Советский;улица 22 Апреля 4А;58;2;5;4100000;69966
ID 70293793;Центральный;улица 21-я Амурская 3Б;55;4;5;4280000;76565
Татьяна Шаврук;Октябрьский;улица 75-й Гвардейской Бригады 16А;57;4;5;4100000;71429
ID 23245738;Советский;улица Магистральная 19;68;2;2;3100000;45588
ID 95574420;Ленинский;улица Василия Маргелова 289;48;2;5;2700000;56250
ID 70291779;Октябрьский;улица 75-й Гвардейской Бригады 2;56;5;5;4100000;73214
ID 70291896;Октябрьский;улица Богдана Хмельницкого 216;68;4;4;4070000;59853
ID 70291780;Октябрьский;проспект Космический 89;58;5;5;3500000;60345
ID 70293342;Советский;улица 20-го Партсъезда 28;64;1;3;3650000;57031
ПОКРОВ;Кировский;улица Авиагородок 5;70;1;4;4300000;61429
ID 70293702;Кировский;Старый Кировск мкр 9;57;1;5;3790000;66028
ID 70292138;Советский;улица Андрианова 34;58;1;5;3890000;67069
ID 70291860;Центральный;улица Багратиона 27А;59;3;5;4190000;70777
ID 70291764;Центральный;улица 21-я Амурская 7А;58;1;5;3400000;58621
ID 100917227;Октябрьский;улица Пархоменко 18;74;1;3;4270000;57703
ID 70291812;Ленинский;улица Гуртьева 8А;64;3;5;3800000;59375
ID 70292014;Кировский;улица 2-я Солнечная 28А;60;1;5;4230000;70500
ID 68533490;Ленинский;улица Василия Маргелова 289;60;5;5;4050000;67500
ID 74292118;Октябрьский;улица 50 лет ВЛКСМ 2Б;47;2;5;4300000;91489
ID 74855321;Октябрьский;улица 6-я Шинная 15;59;3;5;3650000;61551
ID 92218325;Советский;улица Магистральная 81;59;4;5;4200000;70352
ID 70292059;Центральный;набережная Иртышская 26;55;3;5;4299000;78164
Наталья Маламыжева;Центральный;улица 33-я Северная 48;68;3;5;4000000;58824
ID 70291789;Октябрьский;улица Моторостроителей 20;55;2;5;2870000;52182
ID 70291957;Центральный;улица 2-я Челюскинцев 9А;60;2;5;4200000;70000
ID 70292128;Центральный;Сибмисовская улица 12;58;3;5;3770000;64888
ID 70292197;Кировский;Граничная улица 124;70;1;2;3900000;55714
ID 73048658;Ленинский;улица Ярослава Гашека 3/2;62;1;9;4300000;69355
ID 70291958;Ленинский;Входной мкр 17;61;1;4;4200000;68852
СТРОЙ-ИНВЕСТ;Кировский;улица Авиагородок 2;70;4;4;4300000;60993
Альфа риелт;Кировский;улица Нефтебаза 5;73;3;5;4200000;57534
Жизнь города;Ленинский;улица 10-я Чередовая 15/1;61;4;5;3870000;62621
ID 70293368;Центральный;Сибмисовская улица 12;62;5;5;3900000;62903
ID 83930276;Октябрьский;улица 50 лет ВЛКСМ 8А;58;1;5;4200000;71918
«АКАДЕМИЯ ЖИЛЬЯ-55»;Ленинский;улица 6-я Станционная 149;51;5;9;3720000;72941
ID 70291981;Кировский;улица Авиагородок 6;73;1;4;4000000;54720
«АКАДЕМИЯ ЖИЛЬЯ-55»;Октябрьский;улица Романенко 1;45;2;5;3370000;74723
ID 107208679;Центральный;Донецкая улица 1;56;3;5;4300000;76786
ID 70291981;Кировский;улица Нефтебаза 1;38;1;2;2860000;74869
ID 70291851;Октябрьский;улица 3-я Молодежная 63;64;9;9;3990000;62344
НОВОЕ ВРЕМЯ;Центральный;улица Багратиона 9А;58;2;5;4200000;71795
ID 71352838;Центральный;улица 4-я Заречная 2А;61;4;5;3800000;62092
Юлия Мельниченко;Центральный;улица 24-я Северная 167;49;1;5;3500000;70850
БУТЕРИН;Октябрьский;проспект Космический 6;55;4;5;4300000;78182
ГОРОД СОЛНЦА;Центральный;улица Герцена 250;62;3;5;5380000;86218
Елена Павлова;Ленинский;улица Карбышева 24А;57;1;2;3390000;59162
ID 106649171;Октябрьский;переулок Камерный 42;51;5;5;3450000;67647
ID 70292118;Ленинский;Сибирский проспект 8/2;48;4;5;3770000;77413
ID 14436792;Октябрьский;Учебная улица 195;55;4;4;4200000;75269
ID 74338114;Советский;улица Бородина 37А;62;2;5;4270000;67886
ID 23453361;Советский;улица Бархатовой 6А;50;1;6;3350000;67000
ID 70292068;Центральный;улица 22-го Партсъезда 94;57;4;5;2000000;35088
ID 70291782;Центральный;улица 21-я Амурская 30;58;1;5;3950000;68103
ID 70291912;Октябрьский;улица 17-я Рабочая 91А;59;4;5;4200000;70946
ID 70291834;Ленинский;улица Вострецова 7/3;48;5;5;4250000;87090
ID 70293508;Октябрьский;улица Осташковская 20;54;2;2;3400000;62963
ID 70293727;Октябрьский;Запорожская улица 7;61;1;3;2898000;47508
ID 77339984;Октябрьский;улица 3-я Молодежная 58;49;1;5;3790000;77189
ID 70292118;Советский;улица Блюхера 10;48;2;5;3800000;78189
ЭФФЕКТИВНОСТЬ;Кировский;улица Олега Кошевого 22;58;4;5;3800000;65292
ID 19385864;Советский;Заозерная улица 12;50;4;5;3880000;77137
ID 70292128;Октябрьский;улица 75-й Гвардейской Бригады 18;60;5;5;3900000;65000
ID 70292322;Центральный;улица 17-й Военный городок 370;61;2;5;3999000;65343
Империя;Советский;проспект Мира 34Г;58;1;5;4200000;72414
ID 91691643;Советский;Заозерная улица 5А;59;5;5;4200000;71186
ID 70292241;Ленинский;улица 6-я Станционная 35;60;2;5;4200000;70000
ID 70291764;Центральный;улица 21-я Амурская 30;58;1;5;4200000;71429
ID 91359305;Советский;проспект Менделеева 33;60;1;9;4300000;71667
ID 70295321;Советский;улица 20-го Партсъезда 54;59;2;5;3990000;67627
Риэлт-Сервис;Центральный;улица Яковлева 167;34;2;2;2250000;65407
ID 105423468;Кировский;улица 3-я Автомобильная 1;57;4;5;4200000;72790
ID 70293416;Советский;Заозерная улица 2;62;1;5;4200000;67200
ID 70292006;Центральный;улица Багратиона 21Б;64;1;5;3820000;59409
ОМСК РИЭЛТ;Ленинский;улица Киевская 4;59;5;5;3900000;65878
ID 70295265;Советский;проспект Мира 61;59;1;5;4190000;71017
ID 70293327;Октябрьский;улица 6-я Шинная 15;60;3;5;3590000;59833
ID 49160988;Советский;улица Андрианова 36;55;2;5;3700000;67273
ID 70291859;Ленинский;проспект Карла Маркса 44;55;5;5;4250000;77273
ID 49160988;Кировский;улица Туполева 3Б;48;5;5;4340000;89117
ID 73772067;Советский;улица Сергея Тюленина 3в;48;1;5;3600000;75000
ID 70293642;Октябрьский;проспект Космический 53;60;5;5;4200000;70000
ID 70291811;Советский;улица 22 Апреля 51;60;5;5;3970000;66167
ID 70291853;Ленинский;улица 2-я Ленинградская 26;69;3;5;4300000;61960
Татаревич Ирина;Советский;Нефтезаводская улица 22;44;4;5;3550000;80682
ID 101623475;Кировский;улица 8-я Кировская 101;67;1;5;3980000;58876
ID 70292187;Кировский;улица 2-я Казахстанская 42;62;2;2;3790000;61129
ID 70293292;Советский;проспект Менделеева 28;59;1;5;4290000;72712
ID 70293345;Советский;улица Энтузиастов 5;55;5;5;3700000;66787
ID 70292030;Советский;улица 1-я Поселковая 3;42;5;5;3770000;89762
ID 70291784;Советский;улица Глинки 1А;49;3;5;4200000;85714
ID 70291858;Ленинский;улица Вострецова 3;58;1;5;4250000;73150
ID 74290108;Кировский;улица Ватутина 13А;51;2;5;4200000;81712
«АКАДЕМИЯ ЖИЛЬЯ-55»;Ленинский;улица 6-я Станционная 27;58;1;5;4260000;73196
ID 73047561;Советский;улица Андрианова 34;58;4;5;4160000;71724
ID 70292045;Кировский;Мельничная улица 94;40;2;2;3100000;77500
ID 105365959;Октябрьский;улица 18-й Военный городок 172;50;1;5;3150000;63000
ID 70292043;Ленинский;улица Константина Заслонова 11А;64;3;3;3540000;55054
ID 70292063;Октябрьский;улица 2-я Транспортная 16;66;1;3;4000000;59970
ID 70291841;Советский;улица Энтузиастов 29;48;1;5;4190000;86749
ID 70293572;Советский;улица Коммунальная 5;59;2;5;4200000;71186
ID 70292154;Ленинский;улица 6-я Станционная 35;43;5;5;3870000;90000
«АКАДЕМИЯ ЖИЛЬЯ-55»;Октябрьский;улица 50 лет ВЛКСМ 2Б;47;2;5;4100000;87234
РУБЛЕВКА 55;Октябрьский;переулок 3-й Железнодорожный 16;63;9;9;4299000;68238
ID 70293517;Октябрьский;улица 16-й Военный городок 426;58;4;5;4300000;73883
ID 70291910;Ленинский;мкр. Омская Птицефабрика 38;54;2;2;3270000;60556
РУБЛЕВКА 55;Октябрьский;улица Олимпийская 4;60;1;5;3550000;59167
ID 75014133;Советский;улица Энтузиастов 67Б;42;2;5;3030000;72143
Квартсервис;Октябрьский;улица Олимпийская 4;58;5;5;4350000;74486
Квартсервис;Центральный;улица Чехова 3;55;1;9;4390000;79385
МИАРД ВЛАДИС;Советский;улица Химиков 40;55;5;9;4380000;79204
Академия;Центральный;улица 21-я Амурская 26;55;5;5;4390000;79818
Империя;Советский;улица Андрианова 34;59;2;5;4399000;74559
Самолет Плюс Омск-Центр;Кировский;улица 2-я Солнечная 28А;59;1;5;4350000;73109
ID 70292257;Советский;проспект Мира 171;59;4;5;4350000;73356
ID 70292081;Кировский;улица Лукашевича 8Б;60;5;5;4390000;73167
АМИДИ Омск;Советский;улица Коммунальная 23;58;1;5;4390000;74660
ID 73307166;Советский;улица 2-я Поселковая 53;62;9;10;4399000;70952
ID 105526060;Центральный;улица 26-я Северная 19/1;56;5;5;4390000;77975
Квартсервис;Кировский;улица Комкова 3;47;4;5;4400000;93418
Квартсервис;Советский;улица Блюхера 14;63;1;5;4430000;70317
Квартсервис;Кировский;улица Бережного 5А;47;3;5;4400000;92243
Доверие;Октябрьский;переулок Камерный 49;62;3;5;4400000;70968
Доверие;Ленинский;улица Шакурова 12;60;3;5;4400000;72727
Самолет Плюс Омск-Центр;Советский;улица Сергея Тюленина 13;59;3;5;4400000;74576
ID 70292036;Советский;улица 22 Апреля 12Б;62;1;5;4400000;70968
ID 70292043;Октябрьский;улица 4-я Транспортная 44;60;4;9;4400000;73090
ID 70292099;Советский;проспект Королева 2;58;1;5;4400000;74830
ОМСК РИЭЛТ;Советский;проспект Менделеева 28;48;5;5;4400000;89980
ID 70292125;Советский;Заозерная улица 5;55;1;9;4400000;78712
МИАРД ВЛАДИС;Октябрьский;мкр. Чкаловский улица Индустриальная;54;1;5;4495000;82477
МИАРД ВЛАДИС;Кировский;Новороссийская улица 3;58;3;5;4450000;76199
Елена Зотова;Ленинский;улица Константина Заслонова 1;65;4;4;4480000;68923
Риэлт-Сервис;Кировский;улица Лисицкого 3А;58;5;5;4460000;76632
ID 78005360;Советский;проспект Королева 14;59;3;10;4480000;75168
ID 70292081;Октябрьский;улица 2-я Железнодорожная 5;64;8;9;4480000;70000
ID 70292081;Ленинский;улица Жуковского 31/1;60;5;9;4480000;74667
ID 70292059;Ленинский;улица Лобкова 3;69;2;3;4470000;64783
ID 75014133;Советский;улица Андрианова 34;58;5;5;4450000;76068
Ледон;Советский;улица 22 Апреля 10А;58;5;5;4500000;77320
Ледон;Октябрьский;улица Василия Товстухо 2;58;5;5;4500000;76923
Иртыш;Ленинский;улица 14-я Чередовая 8;73;1;2;4500000;61475
Самолет Плюс Омск-Центр;Советский;улица Бородина 37;58;2;5;4530000;78103
ID 70292011;Советский;Заозерная улица 17;58;8;9;4500000;77586
ID 70293468;Кировский;улица Суровцева 53;59;4;5;4500000;76271
ID 14349333;Кировский;улица Лисицкого 3В;59;5;5;4500000;76271
ID 81470951;Советский;улица Магистральная 42Б;72;1;3;4500000;62413
ID 82206759;Центральный;улица 24-я Северная 210;58;1;6;4500000;76661
«АКАДЕМИЯ ЖИЛЬЯ-55»;Октябрьский;улица Свободы 45;61;9;9;4500000;72698
ID 57730462;Советский;проспект Королева 2;58;1;5;4500000;76531
ID 44602834;Октябрьский;улица Николая Худенко 1А;63;3;5;4500000;71429
ID 104336305;Октябрьский;улица 50 лет ВЛКСМ 1;59;1;5;4500000;75251
ID 70292325;Советский;проспект Мира 78;72;4;5;4550000;63194
ID 101623475;Ленинский;улица 22-я Марьяновская 2;63;6;10;4580000;72698
ID 70292071;Центральный;улица 2-я Барнаульская 22;67;5;7;4580000;68053
ID 70292246;Советский;улица Энтузиастов 15;58;5;5;4570000;78793
ID 70293620;Центральный;улица 5-я Северная 193/1;61;8;9;4599000;74780
Квартсервис;Октябрьский;улица 5-я Рабочая 70;53;4;5;4600000;86466
Квартсервис;Центральный;Бульварная улица 3;55;3;5;4600000;82437
Самолет Плюс Омск-Центр;Октябрьский;улица 4-я Транспортная 44;59;7;9;4638000;77950
Елена Павлова;Октябрьский;улица 9-я Линия 141;58;2;2;4600000;78365
ID 70293497;Октябрьский;улица Свободы 45;61;9;9;4600000;74313
ID 70291809;Октябрьский;улица 4-я Транспортная 44;62;8;9;4600000;73718
ID 70292241;Кировский;улица Комкова 1/1;57;1;5;4600000;80139
ID 105007237;Советский;Нефтезаводская улица 32А;54;1;5;4600000;83789
ID 70291767;Ленинский;улица Карбышева 27А;58;5;5;4610000;78535
ID 73048449;Центральный;улица 5-й Армии 71;50;1;5;4600000;91089
ID 32472786;Центральный;улица Красный Пахарь 187;65;4;5;4600000;70769
АВЕСТА-РИЭЛТ;Центральный;улица 33-я Северная 122;62;8;10;4650000;74519
Самолет Плюс Омск-Центр;Советский;улица Сергея Тюленина 11;69;5;5;4650000;66619
Мой дом;Кировский;улица Путилова 11А;49;4;5;4650000;94130
ID 21726022;Октябрьский;улица 3-я Молодежная 63;66;9;9;4699000;70450
ID 70292357;Советский;улица Блюхера 18;61;7;9;4660000;76393
ID 91359305;Ленинский;улица Вострецова 7;60;3;5;4650000;77500
ID 103823221;Ленинский;Крыловская улица 23;64;5;9;4659000;72797
ID 70292048;Октябрьский;улица 6-я Линия 168А;61;5;5;4650000;76230
ID 70291780;Центральный;бульвар Победы 5;57;3;5;4670000;81930
ID 73093763;Октябрьский;улица 6-я Линия 168А;61;5;5;4650000;75733
ID 88545730;Советский;улица Сергея Тюленина 11;60;5;5;4650000;77500
ID 70292300;Кировский;улица Комкова 6;59;6;9;4650000;78020
