Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
ЛИОРА;Центральный;улица Багратиона 27А;58;5;5;4000000;68259
Омская недвижимость;Советский;проспект Менделеева 24;62;4;5;5250000;84677
ЛИОРА;Центральный;Краснознаменная улица 23/1;68;2;5;4900000;71637
Людмила Дашкова;Кировский;улица 4-я Любинская 42Б;60;4;5;4400000;73333
Этажи Омск;Ленинский;проспект Карла Маркса 72;103;9;13;10700000;103883
ЛИОРА;Советский;улица Тимофея Белозерова 8;69;5;5;6300000;91304
Ваш Адрес;Кировский;улица 70 лет Октября 18/1;65;5;9;5650000;86923
Лариса Игнатович;Советский;Комсомольский проспект 8;63;4;5;3400000;53628
Ваш Адрес;Советский;улица Химиков 48;58;5;5;3985000;68589
Недвижимость Гарант;Ленинский;улица Всеволода Иванова 10;42;4;5;4200000;99526
ID 107561768;Центральный;улица Звездова 129/1;89;6;10;9650000;108427
ID 102545764;Кировский;Торговая улица 20;73;4;6;9200000;126027
ID 88986723;Центральный;Омская улица 127к1;110;12;14;11800000;107273
ID 106635240;Кировский;улица 3-я Любинская 22;65;10;11;6099000;93831
ID 17093980;Центральный;улица Багратиона 27А;58;5;5;4000000;68259
Лин-Сервис;Октябрьский;улица Свободы 45;62;9;9;4494000;72484
ID 106777650;Октябрьский;улица Романенко 7А;60;4;5;5200000;86667
Наталья Маламыжева;Центральный;Омская улица 110;62;7;9;6200000;99200
Этажи Омск;Центральный;Тарская улица 151А;74;1;2;3650000;49324
Риэлт-Лайн;Октябрьский;улица Романенко 4;55;4;5;4490000;81193
Этажи Омск;Центральный;улица Челюскинцев 83В;58;3;5;4800000;82616
Этажи Омск;Кировский;улица Комкова 1Б;59;4;5;5000000;84746
Этажи Омск;Советский;улица Химиков 32/1;63;2;10;6950000;110143
Этажи Омск;Центральный;проезд 1-й Амурский 5;69;4;10;6919803;100287
ЛИОРА;Центральный;улица 10 лет Октября 105;63;9;9;7500000;119048
Этажи Омск;Октябрьский;улица 3-я Молодежная 57А;77;8;9;8990000;115851
Этажи Омск;Кировский;улица Перелета 7к3;111;4;9;13900000;125225
Этажи Омск;Центральный;Кемеровская улица 26;83;4;11;15990000;192651
Этажи Омск;Кировский;проспект Комарова 15к1;130;16;16;19770000;151262
Самолет Плюс Омск-Центр;Октябрьский;проспект Космический 75;45;4;5;3800000;83516
Самолет Плюс Омск;Октябрьский;улица 16-й Военный городок 381;55;2;5;5350000;95707
Проект;Октябрьский;улица 75-й Гвардейской Бригады 22;60;6;9;4700000;78333
Домофон;Центральный;улица 24-я Северная 212А;49;3;5;3650000;74187
РИЭЛТКОНСАЛТ;Ленинский;Крыловская улица 48;68;4;5;4300000;62591
Сибирский регион;Октябрьский;улица Богдана Хмельницкого 160;106;4;5;9200000;86466
АТТАШЕ;Кировский;бульвар Архитекторов 8;87;4;8;10500000;120690
ПроДвижение;Октябрьский;улица 11-я Линия 181;72;2;4;5500000;76389
КЛЮЧ;Советский;проспект Мира 102;61;2;9;5195000;84886
Бюро недвижимости Зуевой Я.Н.;Октябрьский;улица Полтавцева 2/2;105;2;2;5050000;47732
АССОЛЬ;Октябрьский;улица 8-я Линия 219;84;5;5;6820000;80710
НСБ-Недвижимость;Ленинский;улица Труда 21;51;2;5;4000000;78125
ДОМЕТРИКА;Центральный;улица Шукшина 9;137;4;6;19187946;140058
Диана Жигарова;Кировский;улица 70 лет Октября 22/2;62;9;9;6600000;105600
Самолет Плюс Омск-Центр;Центральный;улица Нахимова 57;48;5;5;3550000;72895
Копейка;Кировский;улица 2-я Любинская 2А;58;4;5;4400000;74703
Этажи Омск;Ленинский;улица 4-я Марьяновская 6;86;2;10;6477434;75319
Ледон;Центральный;улица 2-я Барнаульская 11А;63;3;5;4070000;63994
ДОМЕТРИКА;Центральный;улица 24-я Северная 200;58;3;5;4500000;77320
Сибирский регион;Кировский;улица Дмитриева 1/7;62;5;10;6200000;98726
Сибирский регион;Кировский;улица 4-я Любинская 34/1;82;9;10;6000022;73171
ТандемТ;Центральный;улица Багратиона 82А;48;5;5;3650000;74795
Этажи Омск;Ленинский;улица 10-я Чередовая 15;57;3;5;4850000;84055
МЕТА;Центральный;улица 24-я Северная 194/2;115;9;9;9190000;79913
Жилфонд Омск;Ленинский;улица Серова 4А;42;4;5;3900000;90909
Элит-Сити;Ленинский;Новокирпичная улица 1/1;68;1;5;4700000;68915
КВАДРАТ;Центральный;мкр. Козицкого 3;74;2;4;5000000;67024
Бюро недвижимости Зуевой Я.Н.;Кировский;Мельничная улица 70;70;1;10;5830000;83286
ВЕТЕР ПЕРЕМЕН;Октябрьский;улица Романенко 16А;69;5;5;4800000;68867
Этажи Омск;Советский;улица 20-го Партсъезда 52;58;5;5;3900000;66895
АССОЛЬ;Ленинский;улица 22-я Марьяновская 8;63;9;10;5999000;95222
Этажи Омск;Ленинский;Входной мкр 29;58;1;5;4000000;68966
Этажи Омск;Центральный;Краснознаменная улица 20;66;4;6;4570000;68311
РИЭЛТКОНСАЛТ;Ленинский;Молодогвардейская улица 27;53;1;5;2900000;54614
СмартРиэлт;Центральный;улица 21-я Амурская 24Б;62;3;5;4600000;73248
Квартсервис;Советский;улица 50 лет Профсоюзов 130;63;4;5;3550000;56349
Омская недвижимость;Ленинский;улица 22-я Марьяновская 8;63;5;10;4590000;72857
ИПОТЕКА-ЦЕНТР;Центральный;проезд 2-й Амурский 4;70;9;10;6689410;95563
Этажи Омск;Октябрьский;Крутогорская улица 14;57;5;5;2700000;46957
Этажи Омск;Ленинский;улица Батумская 1/1;62;1;5;4400000;70513
Самолет Плюс Омск;Кировский;Волгоградская улица 30;63;9;9;5290000;83968
ИПОТЕКА-ЦЕНТР;Кировский;Звездная улица 8;89;3;9;9500000;106264
Радонеж;Кировский;проспект Комарова 15к3;86;9;10;10700000;124419
Этажи Омск;Центральный;улица 21-я Амурская 20;59;5;5;4200000;71066
Этажи Омск;Кировский;Волгоградская улица 30Б;58;2;5;4950000;84471
Андрей Владимирович Калайдин;Октябрьский;улица 20 лет РККА 210;70;4;12;5990000;85571
Самолет Плюс Омск;Кировский;улица Рокоссовского 4;70;3;12;6080000;86857
Юлия Розенберг;Ленинский;улица Рождественского 9/2;78;3;9;10000000;128205
АССОЛЬ;Октябрьский;Братская улица 19;120;5;6;15900000;132500
ДОМСК;Октябрьский;проспект Космический 5;53;4;5;3900000;72761
АВЕСТА-РИЭЛТ;Октябрьский;улица 75-й Гвардейской Бригады 7;59;1;5;4335000;73475
Первое;Ленинский;Моторная улица 10;62;5;5;3990000;63636
Первое;Советский;Пригородная улица 23к1;88;4;11;9000000;101237
Мой мир;Центральный;улица Декабристов 116;103;15;15;13700000;132495
Мой мир;Октябрьский;улица Юбилейная 3;58;1;5;3800000;64516
МЕТА;Центральный;Омская улица 160;62;4;9;5300000;84800
Первое;Октябрьский;Братская улица 19;89;4;6;9500000;106502
Сергей Драгун;Центральный;набережная Иртышская 13;55;1;9;5800000;103757
Радонеж;Ленинский;улица Федора Крылова 3;54;6;9;6100000;111927
Этажи Омск;Октябрьский;улица 1-я Военная 7к1;96;8;10;8500000;88174
НСБ-Недвижимость;Ленинский;улица Всеволода Иванова 17;56;2;5;4550000;81250
АССОЛЬ;Центральный;Ленинградская площадь 2;68;2;5;4850000;70803
Самолет Плюс Омск-Центр;Центральный;улица 2-я Челюскинцев 15А;30;2;2;1600000;52805
Самолет Плюс Омск-Центр;Центральный;улица 27-я Северная 1А;43;4;5;3400000;78341
Квартсервис;Центральный;улица 5-й Армии 135;41;4;5;3500000;85158
Квартсервис;Советский;проспект Мира 10А;41;5;5;4120000;100488
Оптимист;Центральный;улица 5-я Северная 195;60;8;9;4699000;77669
ТандемТ;Кировский;улица Лукашевича 27;62;6;9;5100000;81600
Сибирский Ипотечный Центр;Центральный;улица Куйбышева 27/4;63;9;9;6150000;96395
Риэлт-Лайн;Центральный;улица Декабристов 116;77;12;16;9625000;125000
ПроДвижение;Кировский;улица Рокоссовского 16;62;1;9;5750000;92147
Самолет Плюс Омск-Центр;Ленинский;Молодогвардейская улица 37;56;2;4;3000000;53381
АВЕСТА-РИЭЛТ;Центральный;улица 2-я Барнаульская 11Г;63;2;5;3515000;55529
Самолет Плюс Омск-Центр;Советский;Городок Нефтяников мкр улица Энергетиков;59;2;5;4280000;71572
Этажи Омск;Советский;улица Энтузиастов 67Б;42;2;5;3000000;71429
Элит-Сити;Советский;проспект Культуры 3;74;4;5;5500000;74024
Держава;Ленинский;улица Демьяна Бедного 93;70;8;12;5170000;73857
Этажи Омск;Октябрьский;улица 3-я Молодежная 71;64;4;9;4485000;70078
Риэлт-Лайн;Октябрьский;Харьковская улица 25к2;64;1;10;4690000;72601
Элит-Сити;Советский;проспект Мира 38Б;55;5;5;4590000;83002
Бюро недвижимости Зуевой Я.Н.;Советский;Заозерная улица 2;64;3;5;5000000;78125
Держава;Ленинский;Крыловская улица 46;75;3;10;5900000;77939
Твой город возможностей;Советский;Заозерная улица 22/1;61;5;9;5900000;96721
ЛИОРА;Ленинский;улица Николая Зенькова 2;51;4;5;5000000;98039
